Reading pref.tcl
# |   18  |  0x0c  | 0x0005 | 0x0c00 | 0x0c05 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 |  0x0000  |             |
# |   19  |  0x0c  | 0x0005 | 0x0c00 | 0x0c05 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 |  0x0000  |             |
# |   20  |  0x0c  | 0x0005 | 0x0c00 | 0x0c05 | 0xfffc | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 |  0x0000  |             |
# |   21  |  0x01  | 0x0005 | 0x0c00 | 0x0c05 | 0xfffc | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 |  0x0000  |             |
# |   22  |  0x01  | 0x0005 | 0x0c00 | 0x0c05 | 0xfffc | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 |  0x0000  |             |
# |   23  |  0x01  | 0x0005 | 0x0c00 | 0x0c05 | 0xfffc | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 |  0x0000  |             |
# |   24  |  0x01  | 0x0005 | 0x0c00 | 0x0c05 | 0xfffc | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 |  0x0000  |             |
# |   25  |  0x02  | 0x0005 | 0x0c00 | 0x0c05 | 0xfffc | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 |  0x0000  |             |
# |   26  |  0x02  | 0x0005 | 0x0c00 | 0x0c05 | 0xfffc | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 |  0x0000  |             |
# |   27  |  0x02  | 0x0005 | 0x0c00 | 0x0c05 | 0xfffc | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 | 0x0000 |  0x0000  |             |
# |   28  |  0x02  | 0x0005 | 0x0c00 | 0x0c05 | 0xfffc | 0x0000 | 0x0c04 | 0x0000 | 0x0000 | 0x0000 | 0x0000 |  0x0000  |             |
# |   29  |  0x03  | 0x0005 | 0x0c00 | 0x0c05 | 0xfffc | 0x0000 | 0x0c04 | 0x0000 | 0x0000 | 0x0000 | 0x0000 |  0x0000  |             |
# |   30  |  0x03  | 0x0005 | 0x0c00 | 0x0c05 | 0xfffc | 0x0000 | 0x0c04 | 0x0000 | 0x0000 | 0x0000 | 0x0000 |  0x0000  |             |
# |   31  |  0x03  | 0x0005 | 0x0c00 | 0x0c05 | 0xfffc | 0x0000 | 0x0c04 | 0x0000 | 0x0000 | 0x0000 | 0x0000 |  0x0000  |             |
# |   32  |  0x03  | 0x0005 | 0x0c00 | 0x0c05 | 0xfffc | 0x0000 | 0x0c04 | 0xfffd | 0x0000 | 0x0000 | 0x0000 |  0x0000  |             |
# |   33  |  0x04  | 0x0005 | 0x0c00 | 0x0c05 | 0xfffc | 0x0000 | 0x0c04 | 0xfffd | 0x0000 | 0x0000 | 0x0000 |  0x0000  |             |
# |   34  |  0x04  | 0x0005 | 0x0c00 | 0x0c05 | 0xfffc | 0x0000 | 0x0c04 | 0xfffd | 0x0000 | 0x0000 | 0x0000 |  0x0000  |             |
# |   35  |  0x04  | 0x0005 | 0x0c00 | 0x0c05 | 0xfffc | 0x0000 | 0x0c04 | 0xfffd | 0x0000 | 0x0000 | 0x0000 |  0x0000  |             |
# |   36  |  0x04  | 0x0005 | 0x0c00 | 0xf3fd | 0xfffc | 0x0000 | 0x0c04 | 0xfffd | 0x0000 | 0x0000 | 0x0000 |  0x0000  |             |
# |   37  |  0x0e  | 0x0005 | 0x0c00 | 0xf3fd | 0xfffc | 0x0000 | 0x0c04 | 0xfffd | 0x0000 | 0x0000 | 0x0000 |  0x0000  |             |
# |   38  |  0x0e  | 0x0005 | 0x0c00 | 0xf3fd | 0xfffc | 0x0000 | 0x0c04 | 0xfffd | 0x0000 | 0x0000 | 0x0000 |  0x0000  |             |
# |   39  |  0x0e  | 0x0005 | 0x0c00 | 0xf3fd | 0xfffc | 0x0000 | 0x0c04 | 0xfffd | 0x0000 | 0x0000 | 0x0000 |  0x0000  |             |
# |   40  |  0x0e  | 0x0005 | 0x0c00 | 0xf3fd | 0xfffc | 0x0000 | 0x0c04 | 0xfffd | 0x0000 | 0x0000 | 0x0005 |  0x0000  |             |
# |   41  |  0x0d  | 0x0005 | 0x0c00 | 0xf3fd | 0xfffc | 0x0000 | 0x0c04 | 0xfffd | 0x0000 | 0x0000 | 0x0005 |  0x0000  |             |
# |   42  |  0x0d  | 0x0005 | 0x0c00 | 0xf3fd | 0xfffc | 0x0000 | 0x0c04 | 0xfffd | 0x0000 | 0x0000 | 0x0005 |  0x0000  |             |
# |   43  |  0x0d  | 0x0005 | 0x0c00 | 0xf3fd | 0xfffc | 0x0000 | 0x0c04 | 0xfffd | 0x0000 | 0x0000 | 0x0005 |  0x0000  |             |
# |   44  |  0x0d  | 0x0005 | 0x0c00 | 0xf3fd | 0xfffc | 0x0000 | 0x0c04 | 0xfffd | 0x0000 | 0x0000 | 0x0005 |  0x0000  |             |
# |   45  |  0x0d  | 0x0005 | 0x0005 | 0xf3fd | 0xfffc | 0x0000 | 0x0c04 | 0xfffd | 0x0000 | 0x0000 | 0x0005 |  0x0000  |             |
# |   46  |  0x0c  | 0x0005 | 0x0005 | 0xf3fd | 0xfffc | 0x0000 | 0x0c04 | 0xfffd | 0x0000 | 0x0000 | 0x0005 |  0x0000  |             |
# |   47  |  0x0c  | 0x0005 | 0x0005 | 0xf3fd | 0xfffc | 0x0000 | 0x0c04 | 0xfffd | 0x0000 | 0x0000 | 0x0005 |  0x0000  |             |
# |   48  |  0x0c  | 0x0005 | 0x0005 | 0xf3fd | 0xfffc | 0x0000 | 0x0c04 | 0xfffd | 0x0000 | 0x0000 | 0x0005 |  0x0000  |             |
# |   49  |  0x0c  | 0x0003 | 0x0005 | 0xf3fd | 0xfffc | 0x0000 | 0x0c04 | 0xfffd | 0x0000 | 0x0000 | 0x0005 |  0x0000  |             |
# |   50  |  0x0c  | 0x0003 | 0x0005 | 0xf3fd | 0xfffc | 0x0000 | 0x0c04 | 0xfffd | 0x0000 | 0x0000 | 0x0005 |  0x0000  |             |
# |   51  |  0x0c  | 0x0003 | 0x0005 | 0xf3fd | 0xfffc | 0x0000 | 0x0c04 | 0xfffd | 0x0000 | 0x0000 | 0x0005 |  0x0000  |             |
# |   52  |  0x0c  | 0x0003 | 0x0005 | 0xf3fd | 0xfffc | 0x0000 | 0x0c04 | 0xfffd | 0x0000 | 0x0000 | 0x0005 |  0x0000  |             |
# |   53  |  0x0c  | 0x0003 | 0x0002 | 0xf3fd | 0xfffc | 0x0000 | 0x0c04 | 0xfffd | 0x0000 | 0x0000 | 0x0005 |  0x0000  |             |
# |   54  |  0x00  | 0x0003 | 0x0002 | 0xf3fd | 0xfffc | 0x0000 | 0x0c04 | 0xfffd | 0x0000 | 0x0000 | 0x0005 |  0x0000  |             |
# |   55  |  0x00  | 0x0003 | 0x0002 | 0xf3fd | 0xfffc | 0x0000 | 0x0c04 | 0xfffd | 0x0000 | 0x0000 | 0x0005 |  0x0000  |             |
# |   56  |  0x00  | 0x0003 | 0x0002 | 0xf3fd | 0xfffc | 0x0000 | 0x0c04 | 0xfffd | 0x0000 | 0x0000 | 0x0005 |  0x0000  |             |
# |   57  |  0x00  | 0x0003 | 0x0002 | 0x0000 | 0xfffc | 0x0000 | 0x0c04 | 0xfffd | 0x0000 | 0x0000 | 0x0005 |  0x0000  |             |
# |   58  |  0x0c  | 0x0003 | 0x0002 | 0x0000 | 0xfffc | 0x0000 | 0x0c04 | 0xfffd | 0x0000 | 0x0000 | 0x0005 |  0x0000  |             |
# |   59  |  0x0c  | 0x0003 | 0x0002 | 0x0000 | 0xfffc | 0x0000 | 0x0c04 | 0xfffd | 0x0000 | 0x0000 | 0x0005 |  0x0000  |             |
# |   60  |  0x0c  | 0x0003 | 0x0002 | 0x0000 | 0xfffc | 0x0000 | 0x0c04 | 0xfffd | 0x0000 | 0x0000 | 0x0005 |  0x0000  |             |
# |   61  |  0x0c  | 0x0003 | 0x0002 | 0x0000 | 0xfffc | 0x0001 | 0x0c04 | 0xfffd | 0x0000 | 0x0000 | 0x0005 |  0x0000  |             |
# |   62  |  0x09  | 0x0003 | 0x0002 | 0x0000 | 0xfffc | 0x0001 | 0x0c04 | 0xfffd | 0x0000 | 0x0000 | 0x0005 |  0x0000  |             |
# |   63  |  0x09  | 0x0003 | 0x0002 | 0x0000 | 0xfffc | 0x0001 | 0x0c04 | 0xfffd | 0x0000 | 0x0000 | 0x0005 |  0x0000  |             |
# |   64  |  0x09  | 0x0003 | 0x0002 | 0x0000 | 0xfffc | 0x0001 | 0x0c04 | 0xfffd | 0x0000 | 0x0000 | 0x0005 |  0x0000  |             |
# |   65  |  0x09  | 0x0003 | 0x0002 | 0x0000 | 0xfffc | 0x0001 | 0x0c04 | 0xfffd | 0x0000 | 0x0000 | 0x0005 |  0x0000  |             |
# |   66  |  0x0e  | 0x0003 | 0x0002 | 0x0000 | 0xfffc | 0x0001 | 0x0c04 | 0xfffd | 0x0000 | 0x0000 | 0x0005 |  0x0000  |             |
# |   67  |  0x0e  | 0x0003 | 0x0002 | 0x0000 | 0xfffc | 0x0001 | 0x0c04 | 0xfffd | 0x0000 | 0x0000 | 0x0005 |  0x0000  |             |
# |   68  |  0x0e  | 0x0003 | 0x0002 | 0x0000 | 0xfffc | 0x0001 | 0x0c04 | 0xfffd | 0x0000 | 0x0000 | 0x0005 |  0x0000  |             |
# |   69  |  0x0e  | 0x0003 | 0x0002 | 0x0000 | 0xfffc | 0x0001 | 0x0c04 | 0xfffd | 0xfffd | 0x0000 | 0x0005 |  0x0000  |             |
# |   70  |  0x0a  | 0x0003 | 0x0002 | 0x0000 | 0xfffc | 0x0001 | 0x0c04 | 0xfffd | 0xfffd | 0x0000 | 0x0005 |  0x0000  |             |
# |   71  |  0x0a  | 0x0003 | 0x0002 | 0x0000 | 0xfffc | 0x0001 | 0x0c04 | 0xfffd | 0xfffd | 0x0000 | 0x0005 |  0x0000  |             |
# |   72  |  0x0a  | 0x0003 | 0x0002 | 0x0000 | 0xfffc | 0x0001 | 0x0c04 | 0xfffd | 0xfffd | 0x0000 | 0x0005 |  0x0000  |             |
# |   73  |  0x0a  | 0x0003 | 0x0002 | 0x0000 | 0xfffc | 0x0001 | 0x0c04 | 0xfffd | 0xfffd | 0x0000 | 0x0005 |  0x0000  |             |
# |   74  |  0x00  | 0x0003 | 0x0002 | 0x0000 | 0xfffc | 0x0001 | 0x0c04 | 0xfffd | 0xfffd | 0x0000 | 0x0005 |  0x0000  |             |
# |   75  |  0x00  | 0x0003 | 0x0002 | 0x0000 | 0xfffc | 0x0001 | 0x0c04 | 0xfffd | 0xfffd | 0x0000 | 0x0005 |  0x0000  |             |
# |   76  |  0x00  | 0x0003 | 0x0002 | 0x0000 | 0xfffc | 0x0001 | 0x0c04 | 0xfffd | 0xfffd | 0x0000 | 0x0005 |  0x0000  |             |
# |   77  |  0x00  | 0x0003 | 0x0002 | 0x0001 | 0xfffc | 0x0001 | 0x0c04 | 0xfffd | 0xfffd | 0x0000 | 0x0005 |  0x0000  |             |
# |   78  |  0x0c  | 0x0003 | 0x0002 | 0x0001 | 0xfffc | 0x0001 | 0x0c04 | 0xfffd | 0xfffd | 0x0000 | 0x0005 |  0x0000  |             |
# |   79  |  0x0c  | 0x0003 | 0x0002 | 0x0001 | 0xfffc | 0x0001 | 0x0c04 | 0xfffd | 0xfffd | 0x0000 | 0x0005 |  0x0000  |             |
# |   80  |  0x0c  | 0x0003 | 0x0002 | 0x0001 | 0xfffc | 0x0001 | 0x0c04 | 0xfffd | 0xfffd | 0x0000 | 0x0005 |  0x0000  |             |
# |   81  |  0x0c  | 0x0003 | 0x0002 | 0x0001 | 0xfffc | 0x0002 | 0x0c04 | 0xfffd | 0xfffd | 0x0000 | 0x0005 |  0x0000  |             |
# |   82  |  0x09  | 0x0003 | 0x0002 | 0x0001 | 0xfffc | 0x0002 | 0x0c04 | 0xfffd | 0xfffd | 0x0000 | 0x0005 |  0x0000  |             |
# |   83  |  0x09  | 0x0003 | 0x0002 | 0x0001 | 0xfffc | 0x0002 | 0x0c04 | 0xfffd | 0xfffd | 0x0000 | 0x0005 |  0x0000  |             |
# |   84  |  0x09  | 0x0003 | 0x0002 | 0x0001 | 0xfffc | 0x0002 | 0x0c04 | 0xfffd | 0xfffd | 0x0000 | 0x0005 |  0x0000  |             |
# |   85  |  0x09  | 0x0003 | 0x0002 | 0x0001 | 0xfffc | 0x0002 | 0x0c04 | 0xfffd | 0xfffd | 0x0000 | 0x0005 |  0x0000  |             |
# |   86  |  0x0e  | 0x0003 | 0x0002 | 0x0001 | 0xfffc | 0x0002 | 0x0c04 | 0xfffd | 0xfffd | 0x0000 | 0x0005 |  0x0000  |             |
# |   87  |  0x0e  | 0x0003 | 0x0002 | 0x0001 | 0xfffc | 0x0002 | 0x0c04 | 0xfffd | 0xfffd | 0x0000 | 0x0005 |  0x0000  |             |
# |   88  |  0x0e  | 0x0003 | 0x0002 | 0x0001 | 0xfffc | 0x0002 | 0x0c04 | 0xfffd | 0xfffd | 0x0000 | 0x0005 |  0x0000  |             |
# |   89  |  0x0e  | 0x0003 | 0x0002 | 0x0001 | 0xfffc | 0x0002 | 0x0c04 | 0xfffd | 0xfffd | 0xfffd | 0x0005 |  0x0000  |             |
# |   90  |  0x0a  | 0x0003 | 0x0002 | 0x0001 | 0xfffc | 0x0002 | 0x0c04 | 0xfffd | 0xfffd | 0xfffd | 0x0005 |  0x0000  |             |
# |   91  |  0x0a  | 0x0003 | 0x0002 | 0x0001 | 0xfffc | 0x0002 | 0x0c04 | 0xfffd | 0xfffd | 0xfffd | 0x0005 |  0x0000  |             |
# |   92  |  0x0a  | 0x0003 | 0x0002 | 0x0001 | 0xfffc | 0x0002 | 0x0c04 | 0xfffd | 0xfffd | 0xfffd | 0x0005 |  0x0000  |             |
# |   93  |  0x0a  | 0x0003 | 0x0002 | 0x0001 | 0xfffc | 0x0002 | 0x0c04 | 0xfffd | 0xfffd | 0xfffd | 0x0005 |  0x0000  |             |
# |   94  |  0x00  | 0x0003 | 0x0002 | 0x0001 | 0xfffc | 0x0002 | 0x0c04 | 0xfffd | 0xfffd | 0xfffd | 0x0005 |  0x0000  |             |
# |   95  |  0x00  | 0x0003 | 0x0002 | 0x0001 | 0xfffc | 0x0002 | 0x0c04 | 0xfffd | 0xfffd | 0xfffd | 0x0005 |  0x0000  |             |
# |   96  |  0x00  | 0x0003 | 0x0002 | 0x0001 | 0xfffc | 0x0002 | 0x0c04 | 0xfffd | 0xfffd | 0xfffd | 0x0005 |  0x0000  |             |
# |   97  |  0x00  | 0x0003 | 0x0002 | 0x0002 | 0xfffc | 0x0002 | 0x0c04 | 0xfffd | 0xfffd | 0xfffd | 0x0005 |  0x0000  |             |
# |   98  |  0x0c  | 0x0003 | 0x0002 | 0x0002 | 0xfffc | 0x0002 | 0x0c04 | 0xfffd | 0xfffd | 0xfffd | 0x0005 |  0x0000  |             |
# |   99  |  0x0c  | 0x0003 | 0x0002 | 0x0002 | 0xfffc | 0x0002 | 0x0c04 | 0xfffd | 0xfffd | 0xfffd | 0x0005 |  0x0000  |             |
# |  100  |  0x0c  | 0x0003 | 0x0002 | 0x0002 | 0xfffc | 0x0002 | 0x0c04 | 0xfffd | 0xfffd | 0xfffd | 0x0005 |  0x0000  |             |
# |  101  |  0x0c  | 0x0003 | 0x0002 | 0x0002 | 0xfffc | 0x0003 | 0x0c04 | 0xfffd | 0xfffd | 0xfffd | 0x0005 |  0x0000  |             |
# |  102  |  0x09  | 0x0003 | 0x0002 | 0x0002 | 0xfffc | 0x0003 | 0x0c04 | 0xfffd | 0xfffd | 0xfffd | 0x0005 |  0x0000  |             |
# |  103  |  0x09  | 0x0003 | 0x0002 | 0x0002 | 0xfffc | 0x0003 | 0x0c04 | 0xfffd | 0xfffd | 0xfffd | 0x0005 |  0x0000  |             |
# |  104  |  0x09  | 0x0003 | 0x0002 | 0x0002 | 0xfffc | 0x0003 | 0x0c04 | 0xfffd | 0xfffd | 0xfffd | 0x0005 |  0x0000  |             |
# |  105  |  0x09  | 0x0003 | 0x0002 | 0x0002 | 0xfffc | 0x0003 | 0x0c04 | 0xfffd | 0xfffd | 0xfffd | 0x0005 |  0x0000  |             |
# |  106  |  0x0a  | 0x0003 | 0x0002 | 0x0002 | 0xfffc | 0x0003 | 0x0c04 | 0xfffd | 0xfffd | 0xfffd | 0x0005 |  0x0000  |             |
# |  107  |  0x0a  | 0x0003 | 0x0002 | 0x0002 | 0xfffc | 0x0003 | 0x0c04 | 0xfffd | 0xfffd | 0xfffd | 0x0005 |  0x0000  |             |
# |  108  |  0x0a  | 0x0003 | 0x0002 | 0x0002 | 0xfffc | 0x0003 | 0x0c04 | 0xfffd | 0xfffd | 0xfffd | 0x0005 |  0x0000  |             |
# |  109  |  0x0a  | 0x0003 | 0x0002 | 0x0002 | 0xfffc | 0x0003 | 0x0c04 | 0xfffd | 0xfffd | 0xfffd | 0x0005 |  0x0000  |             |
# |  110  |  0x0b  | 0x0003 | 0x0002 | 0x0002 | 0xfffc | 0x0003 | 0x0c04 | 0xfffd | 0xfffd | 0xfffd | 0x0005 |  0x0000  |             |
# |  111  |  0x0b  | 0x0003 | 0x0002 | 0x0002 | 0xfffc | 0x0003 | 0x0c04 | 0xfffd | 0xfffd | 0xfffd | 0x0005 |  0x0000  |             |
# |  112  |  0x0b  | 0x0003 | 0x0002 | 0x0002 | 0xfffc | 0x0003 | 0x0c04 | 0xfffd | 0xfffd | 0xfffd | 0x0005 |  0x0000  |             |
# |  113  |  0x0b  | 0x0003 | 0xfc00 | 0x0002 | 0xfffc | 0x0003 | 0x0c04 | 0xfffd | 0xfffd | 0xfffd | 0x0005 |  0x0000  |             |
# |  114  |  0x0e  | 0x0003 | 0xfc00 | 0x0002 | 0xfffc | 0x0003 | 0x0c04 | 0xfffd | 0xfffd | 0xfffd | 0x0005 |  0x0000  |             |
# |  115  |  0x0e  | 0x0003 | 0xfc00 | 0x0002 | 0xfffc | 0x0003 | 0x0c04 | 0xfffd | 0xfffd | 0xfffd | 0x0005 |  0x0000  |             |
# |  116  |  0x0e  | 0x0003 | 0xfc00 | 0x0002 | 0xfffc | 0x0003 | 0x0c04 | 0xfffd | 0xfffd | 0xfffd | 0x0005 |  0x0000  |             |
# |  117  |  0x0e  | 0x0003 | 0xfc00 | 0x0002 | 0xfffc | 0x0003 | 0x0c04 | 0xfffd | 0xfffd | 0xfffd | 0x0005 |  0xfffc  |             |
# |  118  |  0x0d  | 0x0003 | 0xfc00 | 0x0002 | 0xfffc | 0x0003 | 0x0c04 | 0xfffd | 0xfffd | 0xfffd | 0x0005 |  0xfffc  |             |
# |  119  |  0x0d  | 0x0003 | 0xfc00 | 0x0002 | 0xfffc | 0x0003 | 0x0c04 | 0xfffd | 0xfffd | 0xfffd | 0x0005 |  0xfffc  |             |
# |  120  |  0x0d  | 0x0003 | 0xfc00 | 0x0002 | 0xfffc | 0x0003 | 0x0c04 | 0xfffd | 0xfffd | 0xfffd | 0x0005 |  0xfffc  |             |
# |  121  |  0x0d  | 0x0003 | 0xfc00 | 0x0002 | 0xfffc | 0x0003 | 0x0c04 | 0xfffd | 0xfffd | 0xfffd | 0x0005 |  0xfffc  |             |
# |  122  |  0x0d  | 0x0003 | 0xfc00 | 0x0009 | 0xfffc | 0x0003 | 0x0c04 | 0xfffd | 0xfffd | 0xfffd | 0x0005 |  0xfffc  |             |
# |  123  |  0x05  | 0x0003 | 0xfc00 | 0x0009 | 0xfffc | 0x0003 | 0x0c04 | 0xfffd | 0xfffd | 0xfffd | 0x0005 |  0xfffc  |             |
# |  124  |  0x05  | 0x0003 | 0xfc00 | 0x0009 | 0xfffc | 0x0003 | 0x0c04 | 0xfffd | 0xfffd | 0xfffd | 0x0005 |  0xfffc  |             |
# |  125  |  0x05  | 0x0003 | 0xfc00 | 0x0009 | 0xfffc | 0x0003 | 0x0c04 | 0xfffd | 0xfffd | 0xfffd | 0x0005 |  0xfffc  |             |
# |  126  |  0x05  | 0x0003 | 0xfc00 | 0x0009 | 0xfffc | 0x0003 | 0x0c04 | 0xfffd | 0xfffd | 0xfffd | 0x0005 |  0xfffc  |             |
# |  127  |  0x05  | 0x0003 | 0xfc00 | 0x0018 | 0xfffc | 0x0003 | 0x0c04 | 0xfffd | 0xfffd | 0xfffd | 0x0005 |  0xfffc  |             |
# |  128  |  0x06  | 0x0003 | 0xfc00 | 0x0018 | 0xfffc | 0x0003 | 0x0c04 | 0xfffd | 0xfffd | 0xfffd | 0x0005 |  0xfffc  |             |
# |  129  |  0x06  | 0x0003 | 0xfc00 | 0x0018 | 0xfffc | 0x0003 | 0x0c04 | 0xfffd | 0xfffd | 0xfffd | 0x0005 |  0xfffc  |             |
# |  130  |  0x06  | 0x0003 | 0xfc00 | 0x0018 | 0xfffc | 0x0003 | 0x0c04 | 0xfffd | 0xfffd | 0xfffd | 0x0005 |  0xfffc  |             |
# |  131  |  0x06  | 0x0003 | 0xfc00 | 0x0018 | 0xfffc | 0x0003 | 0x0c04 | 0xfffd | 0xfffd | 0xfffd | 0x0005 |  0xfffc  |             |
# |  132  |  0x06  | 0x0003 | 0xfc00 | 0x0018 | 0xfffc | 0x0003 | 0x0c04 | 0x0000 | 0xfffd | 0xfffd | 0x0005 |  0xfffc  |             |
# |  133  |  0x08  | 0x0003 | 0xfc00 | 0x0018 | 0xfffc | 0x0003 | 0x0c04 | 0x0000 | 0xfffd | 0xfffd | 0x0005 |  0xfffc  |             |
# |  134  |  0x08  | 0x0003 | 0xfc00 | 0x0018 | 0xfffc | 0x0003 | 0x0c04 | 0x0000 | 0xfffd | 0xfffd | 0x0005 |  0xfffc  |             |
# |  135  |  0x08  | 0x0003 | 0xfc00 | 0x0018 | 0xfffc | 0x0003 | 0x0c04 | 0x0000 | 0xfffd | 0xfffd | 0x0005 |  0xfffc  |             |
